file,age,gender,race,age_label,gender_label,race_label
train/1.jpg,50-59,Male,East Asian,6,1,1
train/15.jpg,60+,Female,Indian,7,0,2
train/19.jpg,0-2,Female,Black,0,0,0
train/20.jpg,50-59,Male,Southeast Asian,6,1,5
train/36.jpg,60+,Female,Middle Eastern,7,0,4
train/39.jpg,50-59,Male,Middle Eastern,6,1,4
train/42.jpg,10-19,Female,Black,1,0,0
train/53.jpg,50-59,Male,Southeast Asian,6,1,5
train/58.jpg,40-49,Female,Latino,5,0,3
train/62.jpg,10-19,Male,Indian,1,1,2
train/68.jpg,60+,Male,White,7,1,6
train/70.jpg,30-39,Male,Indian,4,1,2
train/71.jpg,60+,Female,Indian,7,0,2
train/79.jpg,40-49,Male,Latino,5,1,3
train/106.jpg,40-49,Male,Black,5,1,0
train/120.jpg,60+,Male,Middle Eastern,7,1,4
train/124.jpg,0-2,Male,Indian,0,1,2
train/126.jpg,30-39,Female,East Asian,4,0,1
train/137.jpg,40-49,Male,Latino,5,1,3
train/143.jpg,30-39,Male,Indian,4,1,2
train/146.jpg,40-49,Male,Southeast Asian,5,1,5
train/150.jpg,20-29,Male,Latino,2,1,3
train/152.jpg,20-29,Male,Middle Eastern,2,1,4
train/162.jpg,30-39,Female,White,4,0,6
train/163.jpg,10-19,Male,Southeast Asian,1,1,5
train/164.jpg,20-29,Female,East Asian,2,0,1
train/166.jpg,3-9,Male,East Asian,3,1,1
train/175.jpg,20-29,Female,Indian,2,0,2
train/179.jpg,10-19,Female,Black,1,0,0
train/186.jpg,50-59,Female,Southeast Asian,6,0,5
train/192.jpg,10-19,Female,White,1,0,6
train/200.jpg,10-19,Male,Indian,1,1,2
train/215.jpg,30-39,Female,Black,4,0,0
train/219.jpg,30-39,Female,Southeast Asian,4,0,5
train/232.jpg,50-59,Male,Middle Eastern,6,1,4
train/246.jpg,20-29,Male,White,2,1,6
train/255.jpg,60+,Female,Southeast Asian,7,0,5
train/263.jpg,40-49,Female,Black,5,0,0
train/264.jpg,10-19,Male,Southeast Asian,1,1,5
train/266.jpg,10-19,Male,Latino,1,1,3
train/267.jpg,40-49,Male,Black,5,1,0
train/275.jpg,10-19,Male,Black,1,1,0
train/277.jpg,3-9,Male,Indian,3,1,2
train/287.jpg,3-9,Male,Black,3,1,0
train/304.jpg,3-9,Female,Middle Eastern,3,0,4
train/308.jpg,20-29,Male,Middle Eastern,2,1,4
train/314.jpg,40-49,Male,Black,5,1,0
train/315.jpg,30-39,Male,Indian,4,1,2
train/323.jpg,60+,Male,White,7,1,6
